Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
TER,"Teradyne Inc",113.9,-0.07,-0.06%,117.47,117.83,106.45,3451700,03/05/21
TRMB,"Trimble Navigation",70.67,0.3,+0.43%,71.25,71.48,66.95,2659600,03/05/21
TXN,"Texas Instruments",167.94,4.69,+2.87%,167.54,168.83,162.03,5681100,03/05/21
TYL,"Tyler Technologies",401.06,21.5,+5.66%,431.03,432.99,398.24,1277800,03/05/21
V,"Visa Inc",215.41,3.91,+1.85%,213.73,216.1,209.63,7582000,03/05/21
VNT,"Vontier Corp",32.02,1.11,+3.59%,31.25,32.19,31.1,2089300,03/05/21
VRSN,"Verisign Inc",193.77,3.47,+1.82%,190.65,194.93,188.23,678600,03/05/21
WDC,"Western Digital Cp",68.07,4.58,+7.21%,67.62,69.32,64.59,9199801,03/05/21
WU,"Western Union Company",24.09,0.62,+2.64%,23.72,24.13,23.48,3473800,03/05/21
XLNX,"Xilinx Inc",119.95,2.83,+2.42%,119.98,120.38,111.84,2842300,03/05/21
XRX,"Xerox Corp",26.09,0.52,+2.03%,25.84,26.22,25.18,2272200,03/05/21
ZBRA,"Zebra Technologies",478.15,-1.49,-0.31%,484.81,486.11,454.16,533100,03/05/21
